cell,lon,lat,range,updated
88084,-3.678,40.4051,1000,1760213162
1046529,-3.6965,40.4042,1000,1717795752
88065,-3.6769,40.4017,512,1758968222
26114,-3.7245,40.4667,2099,1730144644
106752,-3.6956,40.4866,1000,1717795742
133642,-3.6341,40.4762,1474,1729114025
133632,-3.6341,40.468,1000,1717795750
979714,-3.636,40.4641,1000,1717795750
133644,-3.6346,40.4606,1227,1729114025
133634,-3.6359,40.4642,590,1729114025
71715687,-3.752,40.4722,2474,1714080786
71687013,-3.7039,40.4495,1000,1717795764
71860325,-3.6981,40.4061,1000,1717795752
71707237,-3.7373,40.4506,1866,1717795759
71773031,-3.6945,40.402,1000,1717795752
71860326,-3.6954,40.4033,1000,1717795752
71762534,-3.6744,40.3566,1427,1722209774
72215142,-3.6794,40.2924,1695,1722209898
72213607,-3.692,40.3143,1000,1722209898
72245351,-3.6517,40.0249,1617,1722209776
71919973,-3.6813,40.331,1014,1722209898
72215141,-3.6918,40.3081,1000,1722209898
71919974,-3.6911,40.3222,1229,1722209898
72500583,-3.8429,40.4773,1000,1714080793
72451430,-3.3637,40.5028,1000,1715900643
72279655,-3.6803,40.2147,3286,1722209775
72243813,-3.6135,40.0507,4079,1722209775
72504423,-3.8576,40.4832,1055,1714080793
72279654,-3.6757,40.1959,1000,1722209775
72502629,-3.8722,40.4993,1049,1714080793
72503398,-3.8859,40.522,1220,1714080793
72503399,-3.8888,40.5329,1305,1714080793
173570,-3.7911,40.431,500,1717795759
173569,-3.7876,40.4292,1000,1717795758
172033,-3.7351,40.4537,4740,1730144701
119553,-3.7697,40.4456,1000,1717795759
177664,-3.759,40.4437,2778,1730144644
15874,-3.6991,40.4207,1022,1722209774
15872,-3.6994,40.4223,1000,1722209774
82443,-3.692,40.4153,1000,1717795752
80384,-3.7009,40.4264,3476,1722209771
513802,-3.8225,40.4093,8868,1717795759
81665,-3.7071,40.4158,833,1728847442
81666,-3.7117,40.4154,1000,1728847322
173568,-3.7842,40.435,1000,1717795759
80385,-3.6977,40.4196,836,1730144643
80642,-3.7116,40.4217,613,1714080786
15873,-3.6986,40.4204,500,1730144643
24832,-3.701,40.4583,1000,1730144701
24852,-3.7089,40.4807,2579,1722209767
244992,-3.6963,40.449,500,1729114026
24854,-3.7904,40.4227,8455,1722209773
24853,-3.6949,40.4564,1039,1722209773
81664,-3.7091,40.4187,1582,1728759602
99073,-3.7056,40.453,825,1722209773
101120,-3.7038,40.4494,500,1722209773
101121,-3.7007,40.4469,500,1729114026
101122,-3.7047,40.4468,500,1729114026
6144,-3.693,40.4413,1102,1722209772
99072,-3.703,40.4559,547,1730144702
93697,-3.6913,40.4449,533,1722209772
142082,-3.6609,40.434,1000,1759066683
24833,-3.7009,40.4583,1000,1722209773
93696,-3.6921,40.448,1000,1722209772
244993,-3.6957,40.4467,500,1729114026
1021952,-3.6627,40.4482,1683,1759066683
1021953,-3.6607,40.4453,810,1759066683
16128,-3.697,40.4258,1000,1722209774
27905,-3.6708,40.4695,2195,1759066682
27904,-3.6748,40.4746,500,1759054322
167947,-3.6564,40.5072,2370,1759066682
1051905,-3.6735,40.4761,500,1759054322
167948,-3.6628,40.5119,799,1759562942
142080,-3.6595,40.4392,540,1759066683
